municipio,departamento,votos,candidato
Betulia,Antioquia,4064,Iván Duque
Betulia,Antioquia,146,Gustavo Petro
Betulia,Antioquia,459,Sergio Fajardo
Betulia,Antioquia,172,Germán Vargas Lleras
Betulia,Antioquia,72,Humberto de la Calle
Betulia,Antioquia,20,Viviane Morales
Betulia,Antioquia,12,Jorque Antonio Trujillo Sarmiento
Bolivar,Antioquia,7935,Iván Duque
Bolivar,Antioquia,610,Gustavo Petro
Bolivar,Antioquia,1400,Sergio Fajardo
Bolivar,Antioquia,353,Germán Vargas Lleras
Bolivar,Antioquia,188,Humberto de la Calle
Bolivar,Antioquia,26,Viviane Morales
Bolivar,Antioquia,38,Jorque Antonio Trujillo Sarmiento
Briceño,Antioquia,674,Iván Duque
Briceño,Antioquia,175,Gustavo Petro
Briceño,Antioquia,598,Sergio Fajardo
Briceño,Antioquia,395,Germán Vargas Lleras
Briceño,Antioquia,104,Humberto de la Calle
Briceño,Antioquia,5,Viviane Morales
Briceño,Antioquia,19,Jorque Antonio Trujillo Sarmiento
Buritica,Antioquia,1538,Iván Duque
Buritica,Antioquia,223,Gustavo Petro
Buritica,Antioquia,580,Sergio Fajardo
Buritica,Antioquia,295,Germán Vargas Lleras
Buritica,Antioquia,111,Humberto de la Calle
Buritica,Antioquia,7,Viviane Morales
Buritica,Antioquia,14,Jorque Antonio Trujillo Sarmiento
Caceres,Antioquia,2124,Iván Duque
Caceres,Antioquia,1657,Gustavo Petro
Caceres,Antioquia,823,Sergio Fajardo
Caceres,Antioquia,444,Germán Vargas Lleras
Caceres,Antioquia,160,Humberto de la Calle
Caceres,Antioquia,23,Viviane Morales
Caceres,Antioquia,34,Jorque Antonio Trujillo Sarmiento
Caicedo,Antioquia,1856,Iván Duque
Caicedo,Antioquia,175,Gustavo Petro
Caicedo,Antioquia,432,Sergio Fajardo
Caicedo,Antioquia,108,Germán Vargas Lleras
Caicedo,Antioquia,72,Humberto de la Calle
Caicedo,Antioquia,15,Viviane Morales
Caicedo,Antioquia,8,Jorque Antonio Trujillo Sarmiento
Caldas,Antioquia,15804,Iván Duque
Caldas,Antioquia,2346,Gustavo Petro
Caldas,Antioquia,15786,Sergio Fajardo
Caldas,Antioquia,1700,Germán Vargas Lleras
Caldas,Antioquia,912,Humberto de la Calle
Caldas,Antioquia,61,Viviane Morales
Caldas,Antioquia,159,Jorque Antonio Trujillo Sarmiento
Campamento,Antioquia,908,Iván Duque
Campamento,Antioquia,144,Gustavo Petro
Campamento,Antioquia,322,Sergio Fajardo
Campamento,Antioquia,305,Germán Vargas Lleras
Campamento,Antioquia,43,Humberto de la Calle
Campamento,Antioquia,3,Viviane Morales
Campamento,Antioquia,10,Jorque Antonio Trujillo Sarmiento
Caracoli,Antioquia,999,Iván Duque
Caracoli,Antioquia,176,Gustavo Petro
Caracoli,Antioquia,257,Sergio Fajardo
Caracoli,Antioquia,77,Germán Vargas Lleras
Caracoli,Antioquia,72,Humberto de la Calle
Caracoli,Antioquia,5,Viviane Morales
Caracoli,Antioquia,2,Jorque Antonio Trujillo Sarmiento
Caramanta,Antioquia,1281,Iván Duque
Caramanta,Antioquia,75,Gustavo Petro
Caramanta,Antioquia,964,Sergio Fajardo
Caramanta,Antioquia,35,Germán Vargas Lleras
Caramanta,Antioquia,33,Humberto de la Calle
Caramanta,Antioquia,2,Viviane Morales
Caramanta,Antioquia,2,Jorque Antonio Trujillo Sarmiento
Carepa,Antioquia,7094,Iván Duque
Carepa,Antioquia,6178,Gustavo Petro
Carepa,Antioquia,2822,Sergio Fajardo
Carepa,Antioquia,836,Germán Vargas Lleras
Carepa,Antioquia,286,Humberto de la Calle
Carepa,Antioquia,190,Viviane Morales
Carepa,Antioquia,58,Jorque Antonio Trujillo Sarmiento
Carmen De Viboral,Antioquia,12048,Iván Duque
Carmen De Viboral,Antioquia,2150,Gustavo Petro
Carmen De Viboral,Antioquia,8182,Sergio Fajardo
Carmen De Viboral,Antioquia,530,Germán Vargas Lleras
Carmen De Viboral,Antioquia,470,Humberto de la Calle
Carmen De Viboral,Antioquia,99,Viviane Morales
Carmen De Viboral,Antioquia,37,Jorque Antonio Trujillo Sarmiento
Carolina,Antioquia,957,Iván Duque
Carolina,Antioquia,164,Gustavo Petro
Carolina,Antioquia,353,Sergio Fajardo
Carolina,Antioquia,113,Germán Vargas Lleras
Carolina,Antioquia,45,Humberto de la Calle
Carolina,Antioquia,21,Viviane Morales
Carolina,Antioquia,7,Jorque Antonio Trujillo Sarmiento
Caucasia,Antioquia,12799,Iván Duque
Caucasia,Antioquia,9091,Gustavo Petro
Caucasia,Antioquia,4931,Sergio Fajardo
Caucasia,Antioquia,1952,Germán Vargas Lleras
Caucasia,Antioquia,512,Humberto de la Calle
Caucasia,Antioquia,138,Viviane Morales
Caucasia,Antioquia,202,Jorque Antonio Trujillo Sarmiento
Cañasgordas,Antioquia,5244,Iván Duque
Cañasgordas,Antioquia,228,Gustavo Petro
Cañasgordas,Antioquia,585,Sergio Fajardo
Cañasgordas,Antioquia,267,Germán Vargas Lleras
Cañasgordas,Antioquia,71,Humberto de la Calle
Cañasgordas,Antioquia,13,Viviane Morales
Cañasgordas,Antioquia,21,Jorque Antonio Trujillo Sarmiento
Chigorodo,Antioquia,6980,Iván Duque
Chigorodo,Antioquia,6717,Gustavo Petro
Chigorodo,Antioquia,2983,Sergio Fajardo
Chigorodo,Antioquia,1486,Germán Vargas Lleras
Chigorodo,Antioquia,295,Humberto de la Calle
Chigorodo,Antioquia,221,Viviane Morales
Chigorodo,Antioquia,85,Jorque Antonio Trujillo Sarmiento
Cisneros,Antioquia,2663,Iván Duque
Cisneros,Antioquia,247,Gustavo Petro
Cisneros,Antioquia,1172,Sergio Fajardo
Cisneros,Antioquia,189,Germán Vargas Lleras
Cisneros,Antioquia,321,Humberto de la Calle
Cisneros,Antioquia,18,Viviane Morales
Cisneros,Antioquia,27,Jorque Antonio Trujillo Sarmiento
Cocorna,Antioquia,5943,Iván Duque
Cocorna,Antioquia,265,Gustavo Petro
Cocorna,Antioquia,621,Sergio Fajardo
Cocorna,Antioquia,160,Germán Vargas Lleras
Cocorna,Antioquia,68,Humberto de la Calle
Cocorna,Antioquia,16,Viviane Morales
Cocorna,Antioquia,10,Jorque Antonio Trujillo Sarmiento
Concepcion,Antioquia,1439,Iván Duque
Concepcion,Antioquia,177,Gustavo Petro
Concepcion,Antioquia,271,Sergio Fajardo
Concepcion,Antioquia,48,Germán Vargas Lleras
Concepcion,Antioquia,140,Humberto de la Calle
Concepcion,Antioquia,4,Viviane Morales
Concepcion,Antioquia,7,Jorque Antonio Trujillo Sarmiento
Concordia,Antioquia,4701,Iván Duque
Concordia,Antioquia,148,Gustavo Petro
Concordia,Antioquia,593,Sergio Fajardo
Concordia,Antioquia,268,Germán Vargas Lleras
Concordia,Antioquia,95,Humberto de la Calle
Concordia,Antioquia,27,Viviane Morales
Concordia,Antioquia,12,Jorque Antonio Trujillo Sarmiento
Copacabana,Antioquia,16351,Iván Duque
Copacabana,Antioquia,3664,Gustavo Petro
Copacabana,Antioquia,13565,Sergio Fajardo
Copacabana,Antioquia,1661,Germán Vargas Lleras
Copacabana,Antioquia,941,Humberto de la Calle
Copacabana,Antioquia,55,Viviane Morales
Copacabana,Antioquia,133,Jorque Antonio Trujillo Sarmiento
Dabeiba,Antioquia,3004,Iván Duque
Dabeiba,Antioquia,625,Gustavo Petro
Dabeiba,Antioquia,762,Sergio Fajardo
Dabeiba,Antioquia,608,Germán Vargas Lleras
Dabeiba,Antioquia,529,Humberto de la Calle
Dabeiba,Antioquia,18,Viviane Morales
Dabeiba,Antioquia,35,Jorque Antonio Trujillo Sarmiento
Don Matias,Antioquia,6028,Iván Duque
Don Matias,Antioquia,291,Gustavo Petro
Don Matias,Antioquia,1980,Sergio Fajardo
Don Matias,Antioquia,142,Germán Vargas Lleras
Don Matias,Antioquia,128,Humberto de la Calle
Don Matias,Antioquia,12,Viviane Morales
Don Matias,Antioquia,24,Jorque Antonio Trujillo Sarmiento
Ebejico,Antioquia,3395,Iván Duque
Ebejico,Antioquia,192,Gustavo Petro
Ebejico,Antioquia,604,Sergio Fajardo
Ebejico,Antioquia,129,Germán Vargas Lleras
Ebejico,Antioquia,258,Humberto de la Calle
Ebejico,Antioquia,20,Viviane Morales
Ebejico,Antioquia,14,Jorque Antonio Trujillo Sarmiento
El Bagre,Antioquia,5751,Iván Duque
El Bagre,Antioquia,2642,Gustavo Petro
El Bagre,Antioquia,2251,Sergio Fajardo
El Bagre,Antioquia,296,Germán Vargas Lleras
El Bagre,Antioquia,225,Humberto de la Calle
El Bagre,Antioquia,31,Viviane Morales
El Bagre,Antioquia,69,Jorque Antonio Trujillo Sarmiento
